,CustomerId,KMEANS_AGG,KMEANS_AGG_PCA,KMEANS_AGG_MCA,KMEANS_AGG_UMAP
378,500104639,2,4,1,2
379,500105055,1,3,0,3
380,500105123,1,3,0,3
381,500105703,0,1,1,4
382,500105759,0,1,1,4
383,500105878,4,2,1,2
384,500106086,3,0,0,3
385,500106537,0,1,3,4
386,500106661,0,1,1,4
387,500107254,4,2,1,2
388,500107639,2,4,1,2
389,500107711,0,1,1,4
390,500108020,2,4,1,2
391,500108979,2,4,1,2
392,500110801,3,0,1,1
393,500110833,2,4,1,2
394,500110957,2,4,1,2
395,500111117,0,1,1,4
396,500111630,0,1,1,4
397,500112140,2,4,1,2
398,500112390,0,1,1,4
399,500112466,3,0,1,1
400,500112506,4,2,1,2
401,500113090,0,1,1,4
402,500113303,4,2,1,2
403,500113488,0,1,1,4
404,500113652,1,3,0,3
405,500113779,1,3,1,3
406,500113827,1,3,2,0
407,500113961,1,3,3,3
408,500114223,0,1,3,4
409,500114410,1,3,2,3
410,500115028,0,1,1,4
411,500115173,3,0,3,1
412,500115183,1,3,0,3
413,500115417,1,3,2,0
414,500115586,3,0,3,1
415,500115786,4,2,1,2
416,500116263,1,3,2,0
417,500117060,3,0,1,1
418,500117402,0,1,1,4
419,500117452,0,1,1,4
420,500117678,1,3,1,3
421,500118167,4,2,1,2
422,500118483,1,3,0,3
423,500118618,2,4,1,2
424,500118938,0,1,1,4
425,500118955,0,1,1,4
426,500119772,3,0,1,1
427,500119813,0,1,1,4
428,500120170,3,0,1,4
429,500120539,0,1,1,4
430,500120799,1,3,3,3
431,500120816,2,4,1,2
432,500121382,1,3,2,0
433,500121809,4,2,1,2
434,500121986,3,0,1,1
435,500122050,0,1,1,4
436,500122254,3,0,3,1
437,500123203,3,0,3,1
438,500123843,0,1,1,4
439,500125174,3,0,3,1
440,500125928,3,0,3,1
441,500127002,2,4,1,2
442,500127035,4,2,3,2
443,500127300,3,0,1,1
444,500128314,3,0,3,1
445,500128752,3,0,0,1
446,500129171,1,3,3,3
447,500130475,3,0,0,1
448,500130513,3,0,0,1
449,500130518,3,0,3,1
450,500130622,3,0,1,1
451,500130625,2,4,1,2
452,500130663,1,3,2,3
453,500131939,1,3,3,3
454,500132162,3,0,3,1
455,500132398,2,4,3,2
456,500132735,3,0,0,1
457,500133214,0,1,3,4
458,500133381,0,1,3,4
459,500133872,1,3,2,3
460,500134137,1,3,2,3
461,500134944,1,3,0,0
462,500135151,1,3,0,3
463,500135927,3,0,0,1
